name,construct,severity,info
bz2 class use,bz2.BZ2File,Medium,Potential risk with bz2 class when decompressing data from untrusted or unknown source. 
lzma use,lzma.open,Medium,Potential risk with lzma when decompressing data from untrusted or unknown source. 
lzma class use,lzma.LZMAFile,Medium,Potential risk with lzma class when decompressing data from untrusted or unknown source. 
shutil,shutil.unpack_archive,Medium,Extracting files within a program should not be trusted by default.
shutil,shutil.copy,Medium,Information can be transfered without permission.
shutil,shutil.copy2,Medium,Information can be transfered without permission.
shutil,shutil.copytree,Medium,Information can be transfered without permission.
shutil,shutil.chown,Medium,Programs should not change access rights on files they do not own.
shutil,shutil.rmtree,Medium,Risk on path traversal attack.
HTTP servers: Check on usage.,http.server.BaseHTTPRequestHandler,High,Insecure for production use.
HTTP servers: Check on usage.,http.server.HTTPServer,High,Insecure for production use.
