S.N,SMARTS CODE,REMARK,CHINESE REMARK
58,"('[!#6;!#1]~[#16]~[!#6;!#1]', 0)",QSQ,非碳基接硫接非碳基
59,"('[#16]!:*:*', 0)",Snot%A%A,%代表芳香键
60,"('[#16]=[#8]', 0)",S=O,硫氧双键
61,"('*~[#16](~*)~*', 0)",AS(A)A,
62,"('*@*!@*@*', 0)",A$!A$A,
63,"('[#7]=[#8]', 0)",N=O,
64,"('*@*!@[#16]', 0)",A$A!S,
65,"('c:n', 0)",C%N,
66,"('[#6]~[#6](~[#6])(~[#6])~*', 0)",CC(C)(C)A,
67,"('[!#6;!#1]~[#16]', 0)",QS,
68,"('[!#6;!#1;!H0]~[!#6;!#1;!H0]', 0)",QHQH,
69,"('[!#6;!#1]~[!#6;!#1;!H0]', 0)",QH,
70,"('[!#6;!#1]~[#7]~[!#6;!#1]', 0)",QNQ,
71,"('[#7]~[#8]', 0)",NO,
72,"('[#8]~*~*~[#8]', 0)",OAAO,
73,"('[#16]=*', 0)",S=A,S双键连接任意原子
74,"('[CH3]~*~[CH3]', 0)",CH3ACH3,
75,"('*!@[#7]@*', 0)",A!N$A,
76,"('[#6]=[#6](~*)~*', 0)",C=C(A)A,
77,"('[#7]~*~[#7]', 0)",NAN,
78,"('[#6]=[#7]', 0)",C=N,
79,"('[#7]~*~*~[#7]', 0)",NAAN,
80,"('[#7]~*~*~*~[#7]', 0)",NAAAN,
81,"('[#16]~*(~*)~*', 0)",SA(A)A,
82,"('*~[CH2]~[!#6;!#1;!H0]', 0)",ACH2QH,
83,"('[!#6;!#1]1~*~*~*~*~1', 0)",QAAAA@1,
84,"('[NH2]', 0)",NH2,氨基
85,"('[#6]~[#7](~[#6])~[#6]', 0)",CN(C)C,
86,"('[C;H2,H3][!#6;!#1][C;H2,H3]', 0)",CH2QCH2,
87,"('[F,Cl,Br,I]!@*@*', 0)",X!A$A,X代表卤素
88,"('[#16]', 0)",S,硫原子
89,"('[#8]~*~*~*~[#8]', 0)",OAAAO,
90,,QHAACH2A,
91,,QHAAACH2A,
92,"('[#8]~[#6](~[#7])~[#6]', 0)",OC(N)C,
93,"('[!#6;!#1]~[CH3]', 0)",QCH3,
94,"('[!#6;!#1]~[#7]', 0)",QN,
95,"('[#7]~*~*~[#8]', 0)",NAAO,
96,"('*1~*~*~*~*~1', 0)",5 M ring,5元环任意键任意原子
97,"('[#7]~*~*~*~[#8]', 0)",NAAAO,
98,"('[!#6;!#1]1~*~*~*~*~*~1', 0)",QAAAAA@1,5元环接杂基团
99,"('[#6]=[#6]', 0)",C=C,
100,"('*~[CH2]~[#7]', 0)",ACH2N,
101,8M Ring or larger. This only handles up to ring sizes of 14,8M Ring or larger,
102,"('[!#6;!#1]~[#8]', 0)",QO,
103,"('Cl', 0)",CL,氯原子
104,"('[!#6;!#1;!H0]~*~[CH2]~*', 0)",QHACH2A,
105,"('*@*(@*)@*', 0)",A$A($A)$A,
106,"('[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1]', 0)",QA(Q)Q,
107,"('[F,Cl,Br,I]~*(~*)~*', 0)",XA(A)A,
108,"('[CH3]~*~*~*~[CH2]~*', 0)",CH3AAACH2A,
109,"('*~[CH2]~[#8]', 0)",ACH2O,
110,"('[#7]~[#6]~[#8]', 0)",NCO,
111,"('[#7]~*~[CH2]~*', 0)",NACH2A,
112,"('*~*(~*)(~*)~*', 0)",AA(A)(A)A,
113,"('[#8]!:*:*', 0)",Onot%A%A,
114,"('[CH3]~[CH2]~*', 0)",CH3CH2A,
115,"('[CH3]~*~[CH2]~*', 0)",CH3ACH2A,
116,"('[$([CH3]~*~*~[CH2]~*),$([CH3]~*1~*~[CH2]1)]', 0)",CH3AACH2A,
117,"('[#7]~*~[#8]', 0)",NAO,
118,"('[$(*~[CH2]~[CH2]~*),$(*1~[CH2]~[CH2]1)]', 1)",ACH2CH2A > 1,
119,"('[#7]=*', 0)",N=A,
120,"('[!#6;R]', 1)",Heterocyclic atom > 1,杂环原子大于1
121,"('[#7;R]', 0)",N Heterocycle,氮环
122,"('*~[#7](~*)~*', 0)",AN(A)A,
123,"('[#8]~[#6]~[#8]', 0)",OCO,
124,"('[!#6;!#1]~[!#6;!#1]', 0)",QQ,
125,"('?', 0)",Aromatic Ring > 1,芳香环大于1
126,"('*!@[#8]!@*', 0)",A!O!A,
127,"('*@*!@[#8]', 1)",A$A!O > 1,
128,,ACH2AAACH2A,
129,,ACH2AACH2A,
130,"('[!#6;!#1]~[!#6;!#1]', 1)",QQ > 1,
131,"('[!#6;!#1;!H0]', 1)",QH > 1,
132,"('[#8]~*~[CH2]~*', 0)",OACH2A,
133,"('*@*!@[#7]', 0)",A$A!N,
134,"('[F,Cl,Br,I]', 0)",X (HALOGEN),卤素
135,"('[#7]!:*:*', 0)",Nnot%A%A,
136,"('[#8]=*', 1)",O=A>1,
137,"('[!C;!c;R]', 0)",Heterocycle,是否有杂环
138,"('[!#6;!#1]~[CH2]~*', 1)",QCH2A>1,
139,"('[O;!H0]', 0)",OH,氢氧根
140,"('[#8]', 3)",O > 3,氧原子大于3个
141,"('[CH3]', 2)",CH3 > 2,甲基大于两个
142,"('[#7]', 1)",N > 1,氮原子大于1个
143,"('*@*!@[#8]', 0)",A$A!O,
144,"('*!:*:*!:*', 0)",Anot%A%Anot%A,
145,"('*1~*~*~*~*~*~1', 1)",6M ring > 1,6元环大于1
146,"('[#8]', 2)",O > 2,氧原子大于2个
147,"('[$(*~[CH2]~[CH2]~*),$([R]1@[CH2;R]@[CH2;R]1)]', 0)",ACH2CH2A,
148,"('*~[!#6;!#1](~*)~*', 0)",AQ(A)A,
149,"('[C;H3,H4]', 1)",CH3 > 1,甲基大于1个
150,"('*!@*@*!@*', 0)",A!A$A!A,
151,"('[#7;!H0]', 0)",NH,亚氨基
152,"('[#8]~[#6](~[#6])~[#6]', 0)",OC(C)C,
153,"('[!#6;!#1]~[CH2]~*', 0)",QCH2A,
154,"('[#6]=[#8]', 0)",C=O,
155,"('*!@[CH2]!@*', 0)",A!CH2!A,
156,"('[#7]~*(~*)~*', 0)",NA(A)A,
157,"('[#6]-[#8]', 0)",C-O,
158,"('[#6]-[#7]', 0)",C-N,
159,"('[#8]', 1)",O>1,氧原子大于1个
160,"('[C;H3,H4]', 0)",CH3,甲基
161,"('[#7]', 0)",N,氮原子
162,"('a', 0)",Aromatic,芳香结构
163,"('*1~*~*~*~*~*~1', 0)",6M Ring,6元环
164,"('[#8]', 0)",O,氧原子
165,"('[R]', 0)",Ring,有无环
166,"('?', 0)",Fragments FIX: this can't be done in SMARTS,SMARTS编码下无意义
